Category Key,Category Name,Group Key,Group Name,Description
diagnosis,Diagnosis ICD-10,A,A,All ICD10 Codes of A
diagnosis,Diagnosis ICD-10,A00.%,A00.%,Cholera
diagnosis,Diagnosis ICD-10,A00.0,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
diagnosis,Diagnosis ICD-10,A00.1,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor"
diagnosis,Diagnosis ICD-10,A00.9,A00.9,"Cholera, unspecified"
diagnosis,Diagnosis ICD-10,A00,A00,Cholera
diagnosis,Diagnosis ICD-10,A01.%,A01.%,Typhoid and paratyphoid fevers
diagnosis,Diagnosis ICD-10,A01.0,A01.0,Typhoid fever
diagnosis,Diagnosis ICD-10,A01.1,A01.1,Paratyphoid fever A
diagnosis,Diagnosis ICD-10,A01.2,A01.2,Paratyphoid fever B
diagnosis,Diagnosis ICD-10,A01.3,A01.3,Paratyphoid fever C
diagnosis,Diagnosis ICD-10,A01.4,A01.4,"Paratyphoid fever, unspecified"
diagnosis,Diagnosis ICD-10,A01,A01,Typhoid and paratyphoid fevers
diagnosis,Diagnosis ICD-10,A02.%,A02.%,Other salmonella infections
diagnosis,Diagnosis ICD-10,A02.0,A02.0,Salmonella enteritis
diagnosis,Diagnosis ICD-10,A02.1,A02.1,Salmonella sepsis
diagnosis,Diagnosis ICD-10,A02.2,A02.2,Localized salmonella infections
diagnosis,Diagnosis ICD-10,A02.8,A02.8,Other specified salmonella infections
diagnosis,Diagnosis ICD-10,A02.9,A02.9,"Salmonella infection, unspecified"
diagnosis,Diagnosis ICD-10,A02,A02,Other salmonella infections
diagnosis,Diagnosis ICD-10,A03.%,A03.%,Shigellosis
diagnosis,Diagnosis ICD-10,A03.0,A03.0,Shigellosis due to Shigella dysenteriae
diagnosis,Diagnosis ICD-10,A03.1,A03.1,Shigellosis due to Shigella flexneri
diagnosis,Diagnosis ICD-10,A03.2,A03.2,Shigellosis due to Shigella boydii
