Site Group,Topography Codes,Label,Topography,Morphology,Description
LIP,"C000-C006,C008-C009",NEOPLASM,800,8000/3,"Neoplasm, malignant"
LIP,"C000-C006,C008-C009",NEOPLASM,800,8001/3,"Tumor cells, malignant"
LIP,"C000-C006,C008-C009",NEOPLASM,800,8002/3,"Malignant tumor, small cell type"
LIP,"C000-C006,C008-C009",NEOPLASM,800,8003/3,"Malignant tumor, giant cell type"
LIP,"C000-C006,C008-C009",NEOPLASM,800,8004/3,"Malignant tumor, spindle cell type"
LIP,"C000-C006,C008-C009",NEOPLASM,800,8005/3,"Malignant tumor, clear cell type"
LIP,"C000-C006,C008-C009","CARCINOMA, NOS",801,8010/2,"Carcinoma in situ, NOS"
LIP,"C000-C006,C008-C009","CARCINOMA, NOS",801,8010/3,"Carcinoma, NOS"
LIP,"C000-C006,C008-C009","CARCINOMA, NOS",801,8011/3,"Epithelioma, malignant"
LIP,"C000-C006,C008-C009","CARCINOMA, NOS",801,8012/3,"Large cell carcinoma, NOS"
LIP,"C000-C006,C008-C009","CARCINOMA, NOS",801,8013/3,Large cell neuroendocrine carcinoma
LIP,"C000-C006,C008-C009","CARCINOMA, NOS",801,8014/3,Large cell carcinoma with rhabdoid phenotype
LIP,"C000-C006,C008-C009","CARCINOMA, NOS",801,8015/3,Glassy cell carcinoma
LIP,"C000-C006,C008-C009","CARCINOMA, UNDIFF., NOS",802,8020/3,"Carcinoma, undifferentiated type, NOS"
LIP,"C000-C006,C008-C009","CARCINOMA, UNDIFF., NOS",802,8021/3,"Carcinoma, anaplastic type, NOS"
LIP,"C000-C006,C008-C009","CARCINOMA, UNDIFF., NOS",802,8022/3,Pleomorphic carcinoma
LIP,"C000-C006,C008-C009",GIANT & SPINDLE CELL CARCINOMA,803,8030/3,Giant cell and spindle cell carcinoma
LIP,"C000-C006,C008-C009",GIANT & SPINDLE CELL CARCINOMA,803,8031/3,Giant cell carcinoma
LIP,"C000-C006,C008-C009",GIANT & SPINDLE CELL CARCINOMA,803,8032/3,Spindle cell carcinoma
LIP,"C000-C006,C008-C009",GIANT & SPINDLE CELL CARCINOMA,803,8033/3,Pseudosarcomatous carcinoma
LIP,"C000-C006,C008-C009",GIANT & SPINDLE CELL CARCINOMA,803,8034/3,Polygonal cell carcinoma
LIP,"C000-C006,C008-C009",GIANT & SPINDLE CELL CARCINOMA,803,8035/3,Carcinoma with osteoclast-like giant cells
LIP,"C000-C006,C008-C009","PAPILLARY CARCINOMA, NOS",805,8050/2,Papillary carcinoma in situ
LIP,"C000-C006,C008-C009","PAPILLARY CARCINOMA, NOS",805,8050/3,"Papillary carcinoma, NOS"
LIP,"C000-C006,C008-C009","PAPILLARY CARCINOMA, NOS",805,8051/3,"Verrucous carcinoma, NOS"
LIP,"C000-C006,C008-C009","PAPILLARY CARCINOMA, NOS",805,8052/2,"Papillary squamous cell carcinoma, non-invasive"
LIP,"C000-C006,C008-C009","PAPILLARY CARCINOMA, NOS",805,8052/3,Papillary squamous cell carcinoma
LIP,"C000-C006,C008-C009","SQUAMOUS CELL CARCINOMA, NOS",807,8070/2,"Squamous cell carcinoma in situ, NOS"
LIP,"C000-C006,C008-C009","SQUAMOUS CELL CARCINOMA, NOS",807,8070/3,"Squamous cell carcinoma, NOS"
LIP,"C000-C006,C008-C009","SQUAMOUS CELL CARCINOMA, NOS",807,8071/3,"Sq. cell carcinoma, keratinizing, NOS"
LIP,"C000-C006,C008-C009","SQUAMOUS CELL CARCINOMA, NOS",807,8072/3,"Sq. cell carcinoma, lg. cell, non-ker."
LIP,"C000-C006,C008-C009","SQUAMOUS CELL CARCINOMA, NOS",807,8073/3,"Sq. cell carcinoma, sm. cell, non-ker."
LIP,"C000-C006,C008-C009","SQUAMOUS CELL CARCINOMA, NOS",807,8074/3,"Sq. cell carcinoma, spindle cell"
LIP,"C000-C006,C008-C009","SQUAMOUS CELL CARCINOMA, NOS",807,8075/3,"Squamous cell carcinoma, adenoid"
LIP,"C000-C006,C008-C009","SQUAMOUS CELL CARCINOMA, NOS",807,8076/2,Sq. cell carc. in situ with question. stromal invas.
LIP,"C000-C006,C008-C009","SQUAMOUS CELL CARCINOMA, NOS",807,8076/3,"Sq. cell carcinoma, micro-invasive"
LIP,"C000-C006,C008-C009","SQUAMOUS CELL CARCINOMA, NOS",807,8078/3,Squamous cell carcinoma with horn formation
LIP,"C000-C006,C008-C009",LYMPHOEPITHELIAL CARCINOMA,808,8081/2,Bowen disease
LIP,"C000-C006,C008-C009",LYMPHOEPITHELIAL CARCINOMA,808,8082/3,Lymphoepithelial carcinoma
LIP,"C000-C006,C008-C009",LYMPHOEPITHELIAL CARCINOMA,808,8083/3,Basaloid squamous cell carcinoma
LIP,"C000-C006,C008-C009",LYMPHOEPITHELIAL CARCINOMA,808,8084/3,"Squamous cell carcinoma, clear cell type"
LIP,"C000-C006,C008-C009","ADENOCARCINOMA, NOS",814,8140/2,Adenocarcinoma in situ
LIP,"C000-C006,C008-C009","ADENOCARCINOMA, NOS",814,8140/3,"Adenocarcinoma, NOS"
LIP,"C000-C006,C008-C009","ADENOCARCINOMA, NOS",814,8141/3,Scirrhous adenocarcinoma
LIP,"C000-C006,C008-C009","ADENOCARCINOMA, NOS",814,8143/3,Superficial spreading adenocarcinoma
LIP,"C000-C006,C008-C009","ADENOCARCINOMA, NOS",814,8147/3,Basal cell adenocarcinoma
LIP,"C000-C006,C008-C009",ADENOID CYSTIC & CRIBRIFORM CA.,820,8200/3,Adenoid cystic carcinoma
LIP,"C000-C006,C008-C009",ADENOID CYSTIC & CRIBRIFORM CA.,820,8201/2,Cribriform carcinoma in situ
LIP,"C000-C006,C008-C009",ADENOID CYSTIC & CRIBRIFORM CA.,820,8201/3,Cribriform carcinoma
LIP,"C000-C006,C008-C009",BRONCHIOLO-ALVEOLAR ADENOCA.,825,8255/3,Adenocarcinoma with mixed subtypes
LIP,"C000-C006,C008-C009","PAPILLARY ADENOCARCINOMA, NOS",826,8260/3,"Papillary adenocarcinoma, NOS"
LIP,"C000-C006,C008-C009","PAPILLARY ADENOCARCINOMA, NOS",826,8261/2,Adenocarcinoma in situ in villous adenoma
LIP,"C000-C006,C008-C009","PAPILLARY ADENOCARCINOMA, NOS",826,8261/3,Adenocarcinoma in villous adenoma
LIP,"C000-C006,C008-C009","PAPILLARY ADENOCARCINOMA, NOS",826,8262/3,Villous adenocarcinoma
LIP,"C000-C006,C008-C009","PAPILLARY ADENOCARCINOMA, NOS",826,8263/2,Adenocarcinoma in situ in tubulovillous adenoma
LIP,"C000-C006,C008-C009","PAPILLARY ADENOCARCINOMA, NOS",826,8263/3,Adenocarcinoma in tubulovillous adenoma
LIP,"C000-C006,C008-C009",MUCOEPIDERMOID CARCINOMA,843,8430/3,Mucoepidermoid carcinoma
LIP,"C000-C006,C008-C009",MUCINOUS ADENOCARCINOMA,848,8480/3,Mucinous adenocarcinoma
LIP,"C000-C006,C008-C009",MUCINOUS ADENOCARCINOMA,848,8481/3,Mucin-producing adenocarcinoma
LIP,"C000-C006,C008-C009",NEVI & MELANOMAS,872,8720/2,Melanoma in situ
LIP,"C000-C006,C008-C009",NEVI & MELANOMAS,872,8720/3,"Malignant melanoma, NOS"
LIP,"C000-C006,C008-C009",NEVI & MELANOMAS,872,8721/3,Nodular melanoma
LIP,"C000-C006,C008-C009",NEVI & MELANOMAS,872,8722/3,Balloon cell melanoma
LIP,"C000-C006,C008-C009",NEVI & MELANOMAS,872,8723/3,"Malignant melanoma, regressing"
LIP,"C000-C006,C008-C009",AMELANOTIC MELANOMA,873,8730/3,Amelanotic melanoma
LIP,"C000-C006,C008-C009",MAL. MEL. IN JUNCT. NEVUS,874,8743/3,Superficial spreading melanoma
LIP,"C000-C006,C008-C009",MAL. MEL. IN JUNCT. NEVUS,874,8745/3,"Desmoplastic melanoma, malignant"
LIP,"C000-C006,C008-C009",MAL. MEL. IN JUNCT. NEVUS,874,8746/3,Mucosal lentiginous melanoma
LIP,"C000-C006,C008-C009",EPITHELIOID CELL MELANOMA,877,8770/3,Mixed epithel. & spindle cell melanoma
LIP,"C000-C006,C008-C009",EPITHELIOID CELL MELANOMA,877,8771/3,Epithelioid cell melanoma
LIP,"C000-C006,C008-C009",EPITHELIOID CELL MELANOMA,877,8772/3,"Spindle cell melanoma, NOS"
LIP,"C000-C006,C008-C009","MIXED TUMOR, MALIGNANT, NOS",894,8940/3,"Mixed tumor, malignant, NOS"
LIP,"C000-C006,C008-C009","MIXED TUMOR, MALIGNANT, NOS",894,8941/3,Carcinoma in pleomorphic adenoma
LIP,"C000-C006,C008-C009",KAPOSI SARCOMA,914,9140/3,Kaposi sarcoma
LIP,"C000-C006,C008-C009","FOLLIC. & MARGINAL LYMPH, NOS",969,9699/3,"Marginal zone B-cell lymphoma, NOS"
LIP,"C000-C006,C008-C009","LYMPHOID LEUKEMIA, NOS",982,9823/3,Chronic lymphocytic leukemia/small lymphocytic lymphoma
BASE OF TONGUE,C019,NEOPLASM,800,8000/3,"Neoplasm, malignant"
BASE OF TONGUE,C019,NEOPLASM,800,8001/3,"Tumor cells, malignant"
BASE OF TONGUE,C019,NEOPLASM,800,8002/3,"Malignant tumor, small cell type"
BASE OF TONGUE,C019,NEOPLASM,800,8003/3,"Malignant tumor, giant cell type"
BASE OF TONGUE,C019,NEOPLASM,800,8004/3,"Malignant tumor, spindle cell type"
BASE OF TONGUE,C019,NEOPLASM,800,8005/3,"Malignant tumor, clear cell type"
BASE OF TONGUE,C019,"CARCINOMA, NOS",801,8010/2,"Carcinoma in situ, NOS"
BASE OF TONGUE,C019,"CARCINOMA, NOS",801,8010/3,"Carcinoma, NOS"
BASE OF TONGUE,C019,"CARCINOMA, NOS",801,8011/3,"Epithelioma, malignant"
BASE OF TONGUE,C019,"CARCINOMA, NOS",801,8012/3,"Large cell carcinoma, NOS"
BASE OF TONGUE,C019,"CARCINOMA, NOS",801,8013/3,Large cell neuroendocrine carcinoma
BASE OF TONGUE,C019,"CARCINOMA, NOS",801,8014/3,Large cell carcinoma with rhabdoid phenotype
BASE OF TONGUE,C019,"CARCINOMA, NOS",801,8015/3,Glassy cell carcinoma
BASE OF TONGUE,C019,"CARCINOMA, UNDIFF., NOS",802,8020/3,"Carcinoma, undifferentiated type, NOS"
BASE OF TONGUE,C019,"CARCINOMA, UNDIFF., NOS",802,8021/3,"Carcinoma, anaplastic type, NOS"
BASE OF TONGUE,C019,"CARCINOMA, UNDIFF., NOS",802,8022/3,Pleomorphic carcinoma
BASE OF TONGUE,C019,GIANT & SPINDLE CELL CARCINOMA,803,8030/3,Giant cell and spindle cell carcinoma
BASE OF TONGUE,C019,GIANT & SPINDLE CELL CARCINOMA,803,8031/3,Giant cell carcinoma
BASE OF TONGUE,C019,GIANT & SPINDLE CELL CARCINOMA,803,8032/3,Spindle cell carcinoma
BASE OF TONGUE,C019,GIANT & SPINDLE CELL CARCINOMA,803,8033/3,Pseudosarcomatous carcinoma
